price,normalPrice,discount,discount_percentage,url,name
9.95,15.004,"5,05 €",-505%,https://jugamosotra.com/accesorios/1894-torre-de-dados-slim-doom-bringer.html,Torre de dados Slim Doom Bringer
9.95,15.004,"5,05 €",-505%,https://jugamosotra.com/accesorios/1893-torre-de-dados-slim-war.html,Torre de dados Slim War
14.94,31.944,"17,00 €",-1.700%,https://jugamosotra.com/2-4-jugadores/1841-monuments-wonders-of-antiquity.html,Monuments: Wonders of Antiquity
4.96,14.9556,"10,00 €",-1.000%,https://jugamosotra.com/2-6-jugadores/1879-unter-geiern.html,Unter Geiern
12.95,29.9475,"17,00 €",-1.700%,https://jugamosotra.com/3-10-jugadores/1867-co-mix.html,Co-Mix (Inglés)
4.96,14.9556,"10,00 €",-1.000%,https://jugamosotra.com/2-8-jugadores-/1869-bongo.html,Bongo!
21.94,34.9448,"13,00 €",-1.300%,https://jugamosotra.com/2-4-jugadores/1792-storytelling.html,Storytelling
19.96,42.955,"23,00 €",-2.300%,https://jugamosotra.com/3-4-jugadores/1705-london-markets.html,London Markets (Dschunke)
14.94,34.9448,"20,00 €",-2.000%,https://jugamosotra.com/2-4-jugadores/1695-hexemonia.html,Hexemonia
19.96,45.9558,"26,00 €",-2.600%,https://jugamosotra.com/2-5-jugadores/754-mil-1049.html,MIL (1049)
25.96,59.9555,"34,00 €",-3.400%,https://jugamosotra.com/2-5-jugadores/1576-pay-dirt.html,Pay Dirt
14.95,23.9459,"9,00 €",-900%,https://jugamosotra.com/1-4-jugadores/692-ophiuchus-the-thirteenth-constellation.html,Ophiuchus: The Thirteenth Constellation
10.01,22.9053,"12,90 €",-1.290%,https://jugamosotra.com/juegos/693-sukkube.html,Sukkube
14.95,29.9475,"15,00 €",-1.500%,https://jugamosotra.com/2-4-jugadores/1496--my-happy-farm.html,My Happy Farm
39.95,54.9461,"15,00 €",-1.500%,https://jugamosotra.com/2-jugadores/1501-kasparov-championship-chess-set.html,Kasparov Championship Chess Set
