price,normalPrice,discount,discount_percentage,url,name
0.6,1,"0,40 €",-40%,https://jugamosuna.es/tienda/1354/comprar-131-premoniciones-barato.html,Star Wars Destiny Espíritu de Rebelión - 131 - PREMONICIONES
21.57,35.95,"14,38 €",-40%,https://jugamosuna.es/tienda/1434/comprar-odyssey-la-ira-de-poseidon-barato.html,Odyssey - La Ira de Poseidón
35.97,59.950001,"23,98 €",-40%,https://jugamosuna.es/tienda/1507/comprar-runewars-el-juego-de-miniaturas-elfos-latari-expansion-de-ejercito-barato.html,Elfos Latari - Expansión de ejército - Runewars: El juego de miniaturas
26.97,44.95,"17,98 €",-40%,https://jugamosuna.es/tienda/1579/comprar-star-wars-x-wing-pack-de-naves-2-barato.html,Pack de Naves 2 - Star Wars X-Wing
4.77,7.95,"3,18 €",-40%,https://jugamosuna.es/tienda/1677/comprar-clubs-barato.html,Clubs (Inglés)
17.97,29.95,"11,98 €",-40%,https://jugamosuna.es/tienda/1920/comprar-sensei-barato.html,Sensei (Inglés)
18.57,30.95,"12,38 €",-40%,https://jugamosuna.es/tienda/1968/comprar-icarus-barato.html,Icarus (Inglés)
14.97,24.95,"9,98 €",-40%,https://jugamosuna.es/tienda/2075/comprar-tip-tap-barato.html,Tip Tap (Inglés)
23.97,39.95,"15,98 €",-40%,https://jugamosuna.es/tienda/2213/guild-ball-mason-s-and-brewer-s-terrain-pack-ingles.html,Mason's and Brewer's Terrain Pack - Guild Ball (Inglés)
11.97,19.95,"7,98 €",-40%,https://jugamosuna.es/tienda/2233/comprar-guild-ball-the-hunter-s-guild-chaska-ingles-barato.html,Chaska - The Hunter's Guild - Guild Ball (Inglés)
48,80.0052,"32,00 €",-40%,https://jugamosuna.es/tienda/1015/comprar-seafall-legacy-barato.html,SEAFALL (LEGACY)
0.6,1,"0,40 €",-40%,https://jugamosuna.es/tienda/1329/comprar-071-ira-barato.html,Star Wars Destiny Espíritu de Rebelión - 071 - IRA
0.6,1,"0,40 €",-40%,https://jugamosuna.es/tienda/1357/comprar-137-nuevas-ordenes-barato.html,Star Wars Destiny Espíritu de Rebelión -  137 - NUEVAS ÓRDENES
11.97,19.95,"7,98 €",-40%,https://jugamosuna.es/tienda/1510/comprar-flap-flap-barato.html,Flap - Flap
23.37,38.95,"15,58 €",-40%,https://jugamosuna.es/tienda/1921/comprar-antarctica-barato.html,Antarctica (Inglés)
22.77,37.95,"15,18 €",-40%,https://jugamosuna.es/tienda/1974/comprar-leuthen-frederick-s-greatest-victory-barato.html,Leuthen: Frederick's Greatest Victory (Inglés)
27.97,39.95,"11,99 €",-30%,https://jugamosuna.es/tienda/2076/comprar-world-monuments-barato.html,World Monuments (Inglés)
26.97,44.95,"17,98 €",-40%,https://jugamosuna.es/tienda/2214/comprar-guild-ball-the-blacksmith-s-guild-forged-from-steel-ingles-barato.html,Forged From Steel - The Blacksmith's Guild - Guild Ball (Inglés)
38.97,64.95,"25,98 €",-40%,https://jugamosuna.es/tienda/2237/comprar-guild-ball-the-mortician-s-guild-the-master-of-puppets-ingles-barato.html,The Master of Puppets - The Mortician's Guild - Guild Ball (Inglés)
14.98,29.95,"14,98 €",-50%,https://jugamosuna.es/tienda/609/viceroy.html,Viceroy (Inglés)
18.57,30.95,"12,38 €",-40%,https://jugamosuna.es/tienda/779/comprar-patrician-ingles-barato.html,Patrician (Inglés)
20.97,34.950001,"13,98 €",-40%,https://jugamosuna.es/tienda/1045/comprar-piratoons-barato.html,PIRATOONS
0.6,1,"0,40 €",-40%,https://jugamosuna.es/tienda/1333/comprar-083-amistades-en-las-altas-esferas-barato.html,Star Wars Destiny Espíritu de Rebelión - 083 - AMISTADES EN LAS ALTAS ESFERAS
22.17,36.95,"14,78 €",-40%,https://jugamosuna.es/tienda/1975/comprar-moonbase-alpha-barato.html,Moonbase Alpha (Inglés)
0.6,1,"0,40 €",-40%,https://jugamosuna.es/tienda/1354/comprar-131-premoniciones-barato.html,Star Wars Destiny Espíritu de Rebelión - 131 - PREMONICIONES
21.57,35.95,"14,38 €",-40%,https://jugamosuna.es/tienda/1434/comprar-odyssey-la-ira-de-poseidon-barato.html,Odyssey - La Ira de Poseidón
35.97,59.950001,"23,98 €",-40%,https://jugamosuna.es/tienda/1507/comprar-runewars-el-juego-de-miniaturas-elfos-latari-expansion-de-ejercito-barato.html,Elfos Latari - Expansión de ejército - Runewars: El juego de miniaturas
26.97,44.95,"17,98 €",-40%,https://jugamosuna.es/tienda/1579/comprar-star-wars-x-wing-pack-de-naves-2-barato.html,Pack de Naves 2 - Star Wars X-Wing
4.77,7.95,"3,18 €",-40%,https://jugamosuna.es/tienda/1677/comprar-clubs-barato.html,Clubs (Inglés)
17.97,29.95,"11,98 €",-40%,https://jugamosuna.es/tienda/1920/comprar-sensei-barato.html,Sensei (Inglés)
18.57,30.95,"12,38 €",-40%,https://jugamosuna.es/tienda/1968/comprar-icarus-barato.html,Icarus (Inglés)
14.97,24.95,"9,98 €",-40%,https://jugamosuna.es/tienda/2075/comprar-tip-tap-barato.html,Tip Tap (Inglés)
23.97,39.95,"15,98 €",-40%,https://jugamosuna.es/tienda/2213/guild-ball-mason-s-and-brewer-s-terrain-pack-ingles.html,Mason's and Brewer's Terrain Pack - Guild Ball (Inglés)
11.97,19.95,"7,98 €",-40%,https://jugamosuna.es/tienda/2233/comprar-guild-ball-the-hunter-s-guild-chaska-ingles-barato.html,Chaska - The Hunter's Guild - Guild Ball (Inglés)
48,80.0052,"32,00 €",-40%,https://jugamosuna.es/tienda/1015/comprar-seafall-legacy-barato.html,SEAFALL (LEGACY)
0.6,1,"0,40 €",-40%,https://jugamosuna.es/tienda/1329/comprar-071-ira-barato.html,Star Wars Destiny Espíritu de Rebelión - 071 - IRA
0.6,1,"0,40 €",-40%,https://jugamosuna.es/tienda/1357/comprar-137-nuevas-ordenes-barato.html,Star Wars Destiny Espíritu de Rebelión -  137 - NUEVAS ÓRDENES
11.97,19.95,"7,98 €",-40%,https://jugamosuna.es/tienda/1510/comprar-flap-flap-barato.html,Flap - Flap
23.37,38.95,"15,58 €",-40%,https://jugamosuna.es/tienda/1921/comprar-antarctica-barato.html,Antarctica (Inglés)
22.77,37.95,"15,18 €",-40%,https://jugamosuna.es/tienda/1974/comprar-leuthen-frederick-s-greatest-victory-barato.html,Leuthen: Frederick's Greatest Victory (Inglés)
